$|t|$ [GeV$^2$],$|t|$ [GeV$^2$] LOW,$|t|$ [GeV$^2$] HIGH,d$\sigma$/d$t$ [mb/GeV$^2$],stat +,stat -,sys +,sys -
0.1512,0.1473,0.1552,28.113,0.072,-0.072,1.201,-1.201
0.15925,0.1552,0.1634,24.155,0.0659,-0.0659,1.03,-1.03
0.16761,0.1634,0.17194,20.645,0.0616,-0.0616,0.877,-0.877
0.17632,0.17194,0.18082,17.486,0.0574,-0.0574,0.743,-0.743
0.18537,0.18082,0.19005,14.679,0.0543,-0.0543,0.626,-0.626
0.19478,0.19005,0.19965,12.291,0.0504,-0.0504,0.524,-0.524
0.20186500000000002,0.19595,0.20778,10.697,0.0433,-0.0433,0.455,-0.455
0.21367,0.20778,0.21956,8.3899,0.0395,-0.0395,0.363,-0.363
0.22543000000000002,0.21956,0.2313,6.7066,0.0363,-0.0363,0.290,-0.290
0.237195,0.2313,0.24309,5.3454,0.0330,-0.0330,0.231,-0.231
0.24899,0.24309,0.25489,4.2402,0.0300,-0.0300,0.184,-0.184
0.26087,0.25489,0.26685,3.2943,0.0267,-0.0267,0.146,-0.146
0.272825,0.26685,0.2788,2.5763,0.0240,-0.0240,0.115,-0.115
0.284805,0.2788,0.29081,2.0313,0.0216,-0.0216,0.0911,-0.0911
0.29686999999999997,0.29081,0.30293,1.5650,0.0191,-0.0191,0.0716,-0.0716
0.30898499999999995,0.30293,0.31504,1.1847,0.0168,-0.0168,0.0560,-0.0560
0.321195,0.31504,0.32735,0.93458,0.0150,-0.0150,0.0436,-0.0436
0.33347499999999997,0.32735,0.3396,0.72239,0.0134,-0.0134,0.0338,-0.0338
0.34578,0.3396,0.35196,0.55840,0.0118,-0.0118,0.0261,-0.0261
0.35819,0.35196,0.36442,0.39604,0.00998,-0.00998,0.0199,-0.0199
0.37073500000000004,0.36442,0.37705,0.30024,0.00870,-0.00870,0.0151,-0.0151
0.383335,0.37705,0.38962,0.22357,0.00756,-0.00756,0.0114,-0.0114
0.396,0.38962,0.40238,0.15845,0.00635,-0.00635,0.00854,-0.00854
0.40876,0.40238,0.41514,0.12039,0.00555,-0.00555,0.00636,-0.00636
0.4216,0.41514,0.42806,0.090421,0.00480,-0.00480,0.00462,-0.00462
0.43454499999999996,0.42806,0.44103,0.055239,0.00375,-0.00375,0.00337,-0.00337
0.447535,0.44103,0.45404,0.041774,0.00326,-0.00326,0.00243,-0.00243
0.46060999999999996,0.45404,0.46718,0.034636,0.00297,-0.00297,0.00177,-0.00177
0.47377,0.46718,0.48036,0.023328,0.00245,-0.00245,0.00134,-0.00134
0.48697999999999997,0.48036,0.4936,0.022714,0.00246,-0.00246,0.00107,-0.00107
0.50027,0.4936,0.50694,0.017260,0.00218,-0.00218,0.000881,-0.000881
0.513665,0.50694,0.52039,0.014228,0.00202,-0.00202,0.000857,-0.000857
0.52715,0.52039,0.53391,0.015219,0.00213,-0.00213,0.000914,-0.000914
0.54741,0.53391,0.56091,0.018318,0.00172,-0.00172,0.000940,-0.000940
0.5744100000000001,0.56091,0.58791,0.023457,0.00199,-0.00199,0.00102,-0.00102
0.613985,0.58791,0.64006,0.028791,0.00163,-0.00163,0.00116,-0.00116
0.66509,0.64006,0.69012,0.026269,0.00163,-0.00163,0.00126,-0.00126
0.7150099999999999,0.69012,0.7399,0.031109,0.00181,-0.00181,0.00124,-0.00124
0.767145,0.7399,0.79439,0.028671,0.00169,-0.00169,0.00115,-0.00115
0.8264450000000001,0.79439,0.8585,0.022342,0.00140,-0.00140,0.00101,-0.00101
0.87902,0.8585,0.89954,0.018391,0.00161,-0.00161,0.000867,-0.000867
0.92006,0.89954,0.94058,0.020262,0.00171,-0.00171,0.000761,-0.000761
0.97161,0.94058,1.00264,0.015403,0.00123,-0.00123,0.000640,-0.000640
1.033665,1.00264,1.06469,0.0085912,0.000932,-0.000932,0.000510,-0.000510


